,Unnamed: 0,LIBELLE_ARRET,pourc_validations,TRNC_HORR_60,NB_VALD,NB_VALD_HOUR
755,755,MASSY-PALAISEAU,0.25,22H-23H,22462.82608695652,5615.70652173913
756,756,MASSY-PALAISEAU,5.68,5H-6H,22462.82608695652,127588.85217391302
757,757,MASSY-PALAISEAU,6.45,8H-9H,22462.82608695652,144885.22826086954
758,758,MASSY-PALAISEAU,2.99,9H-10H,22462.82608695652,67163.85
759,759,MASSY-VERRIERES,2.87,12H-13H,1234.0489130434785,3541.720380434783
760,760,MASSY-VERRIERES,4.01,18H-19H,1234.0489130434785,4948.5361413043465
761,761,MASSY-VERRIERES,32.03,8H-9H,1234.0489130434785,39526.58668478261
762,762,MASSY-VERRIERES,6.99,9H-10H,1234.0489130434785,8626.001902173914
763,763,BOURG-LA-REINE,0.25,0H-1H,10464.875,2616.21875
764,764,BOURG-LA-REINE,1.15,22H-23H,10464.875,12034.60625
765,765,BOURG-LA-REINE,0.74,23H-0H,10464.875,7744.0075
766,766,BURES-SUR-YVETTE,0.01,0H-1H,1350.4565217391305,13.504565217391304
767,767,BURES-SUR-YVETTE,3.78,11H-12H,1350.4565217391305,5104.725652173913
768,768,BURES-SUR-YVETTE,9.72,16H-17H,1350.4565217391305,13126.437391304351
769,769,BURES-SUR-YVETTE,4.22,19H-20H,1350.4565217391305,5698.926521739129
770,770,BURES-SUR-YVETTE,1.82,20H-21H,1350.4565217391305,2457.8308695652177
771,771,BURES-SUR-YVETTE,0.92,21H-22H,1350.4565217391305,1242.42
772,772,GARE DU NORD,4.98,16H-17H,76449.32608695653,380717.6439130436
773,773,GARE DU NORD,7.12,17H-18H,76449.32608695653,544319.2017391304
774,774,GARE DU NORD,4.05,20H-21H,76449.32608695653,309619.7706521739
775,775,GARE DU NORD,0.01,3H-4H,76449.32608695653,764.4932608695652
776,776,GARE DU NORD,2.95,6H-7H,76449.32608695653,225525.51195652175
777,777,GARE DU NORD,0.14,0H-1H,76449.32608695653,10702.905652173917
778,778,GARE DU NORD,0.39,23H-0H,76449.32608695653,29815.237173913047
779,779,GARE DU NORD,5.66,7H-8H,76449.32608695653,432703.1856521739
780,780,LUXEMBOURG,0.79,0H-1H,12565.005434782608,9926.35429347826
781,781,LUXEMBOURG,4.74,13H-14H,12565.005434782608,59558.12576086957
782,782,LUXEMBOURG,4.58,14H-15H,12565.005434782608,57547.72489130434
783,783,LUXEMBOURG,15.16,17H-18H,12565.005434782608,190485.48239130434
784,784,LUXEMBOURG,6.12,20H-21H,12565.005434782608,76897.83326086956
785,785,LUXEMBOURG,0.0,3H-4H,12565.005434782608,0.0
786,786,LUXEMBOURG,0.0,4H-5H,12565.005434782608,0.0
787,787,LUXEMBOURG,0.15,5H-6H,12565.005434782608,1884.7508152173914
788,788,LUXEMBOURG,2.03,7H-8H,12565.005434782608,25506.96103260869
789,789,MASSY-PALAISEAU,1.43,21H-22H,22462.82608695652,32121.841304347818
790,790,MASSY-PALAISEAU,1.18,5H-6H,22462.82608695652,26506.134782608693
791,791,MASSY-PALAISEAU,15.14,8H-9H,22462.82608695652,340087.1869565217
792,792,MASSY-VERRIERES,3.71,12H-13H,1234.0489130434785,4578.3214673913035
793,793,MASSY-VERRIERES,3.08,13H-14H,1234.0489130434785,3800.870652173913
794,794,MASSY-VERRIERES,3.47,16H-17H,1234.0489130434785,4282.149728260871
795,795,MASSY-VERRIERES,2.24,19H-20H,1234.0489130434785,2764.269565217392
796,796,MASSY-VERRIERES,1.15,20H-21H,1234.0489130434785,1419.1562499999998
797,797,MASSY-VERRIERES,0.27,23H-0H,1234.0489130434785,333.19320652173917
798,798,MASSY-VERRIERES,0.52,4H-5H,1234.0489130434785,641.7054347826087
799,799,MASSY-VERRIERES,24.49,8H-9H,1234.0489130434785,30221.85788043478
800,800,MITRY-CLAYE,9.12,16H-17H,2424.3478260869565,22110.05217391304
801,801,MITRY-CLAYE,0.01,1H-2H,2424.3478260869565,24.24347826086957
802,802,MITRY-CLAYE,1.65,20H-21H,2424.3478260869565,4000.1739130434776
803,803,MITRY-CLAYE,0.47,22H-23H,2424.3478260869565,1139.4434782608694
804,804,MITRY-CLAYE,4.13,9H-10H,2424.3478260869565,10012.55652173913
805,805,ORSAY-VILLE,0.02,0H-1H,3428.8695652173915,68.57739130434783
806,806,ORSAY-VILLE,2.96,10H-11H,3428.8695652173915,10149.45391304348
807,807,ORSAY-VILLE,3.03,11H-12H,3428.8695652173915,10389.474782608697
808,808,ORSAY-VILLE,0.01,1H-2H,3428.8695652173915,34.288695652173914
809,809,ORSAY-VILLE,0.85,5H-6H,3428.8695652173915,2914.5391304347827
810,810,PALAISEAU,3.72,18H-19H,1579.603260869565,5876.124130434782
811,811,PALAISEAU,0.89,21H-22H,1579.603260869565,1405.8469021739133
812,812,PALAISEAU,0.97,22H-23H,1579.603260869565,1532.2151630434785
813,813,PALAISEAU,0.37,23H-0H,1579.603260869565,584.4532065217393
