,insee,TauxProprietaires,TauxChomage,NiveauVieMedian,densitehabkm2,dipl_su_tx,no2,o3,pm10,Tour1Candidat1,tp,medianendv,nb_redevables,patrimoineeuro,impotmoyeneuro,prixm2
288,91312,69.81037924,6.969003537000001,29272.0,2711.8556700999998,0.48870289706532716,22.37912087912088,31.282967032967033,26.958791208791208,MACRON Emmanuel,6.0,29272.0,,,,4236.0
297,91666,73.37078652,7.488299532,26378.0,419.366852886,0.3453062777310176,21.082417582417584,32.244505494505496,26.71978021978022,MACRON Emmanuel,,26378.0,,,,2719.0
306,91635,82.55372946,7.802197802,34940.0,593.072289157,0.5359975688661088,21.59065934065934,31.53846153846154,26.57967032967033,MACRON Emmanuel,,34940.0,,,,4511.0
315,91186,82.45614035,7.395498392,29354.0,158.994708995,0.47846889952153143,15.692307692307692,32.815934065934066,24.458791208791208,MACRON Emmanuel,,29354.4,,,,2718.0
324,91243,80.15873016,7.2490706320000005,27441.0,191.93877551,0.4063549853909095,17.947802197802197,32.89010989010989,25.376373626373628,MACRON Emmanuel,,27440.5,,,,2796.0
333,91477,51.71780393,8.482272807000001,26366.0,2591.11111111,0.5195311220307723,22.65934065934066,31.846153846153847,27.50824175824176,MACRON Emmanuel,8.0,26365.5555556,,,,3489.0
342,91363,71.50111076,8.50591716,27095.0,476.835820896,0.39271396200104586,20.085164835164836,32.64010989010989,26.291208791208792,MACRON Emmanuel,6.0,27095.384615400006,,,,2924.0
351,78640,39.53654553,7.523097227999999,26540.0,2308.91861761,0.4196220982557561,23.95054945054945,30.406593406593405,27.46978021978022,MACRON Emmanuel,6.0,26539.5238095,,,,4281.0
360,91064,66.79327184,8.347245409,32078.0,460.47471620199997,0.5609379821042888,23.486263736263737,31.217032967032967,27.332417582417584,FILLON François,5.0,32078.3333333,,,,3951.0
369,91661,60.97942755,7.4962518739999995,27629.0,1300.66755674,0.4917375212948842,22.46153846153846,31.931318681318682,27.434065934065934,MACRON Emmanuel,6.0,27629.0,,,,3348.0
378,91458,75.7118928,6.607073455,27933.0,641.734417344,0.42736998152078637,21.178571428571427,32.31318681318681,26.733516483516482,MACRON Emmanuel,5.0,27933.196969700002,,,,3254.0
387,91216,68.23474616,10.37306642,26763.0,2357.40318907,0.38619564531515344,23.953296703296704,31.692307692307693,28.28021978021978,MACRON Emmanuel,7.0,26763.0,,,,3371.0
396,91667,77.61887737,8.866155158,28717.0,2994.42060086,0.4490163199540002,23.346153846153847,31.63186813186813,27.75824175824176,MACRON Emmanuel,5.0,28717.1428571,,,,3297.0
405,91432,68.17839669,10.28051328,24277.0,2617.87941788,0.30966261911147774,25.71978021978022,30.917582417582416,29.857142857142858,MACRON Emmanuel,9.0,24277.0,,,,3257.0
414,91161,60.26554013,10.90047393,21713.0,3340.95744681,0.3181362816567609,25.318681318681318,31.002747252747252,29.524725274725274,MACRON Emmanuel,14.0,21712.6666667,,,,2586.0
423,91345,52.19045423,12.29279195,21876.0,4425.92592593,0.3279569225689919,24.302197802197803,31.28021978021978,28.563186813186814,MACRON Emmanuel,14.0,21876.0,,,,2812.0
