,date,ninsee,no2,o3,pm10
120125,02/04/2017,92014,30,39,22
120157,02/04/2017,93005,33,42,20
120159,02/04/2017,93007,34,42,20
120162,02/04/2017,93013,29,42,19
120165,02/04/2017,93027,30,42,20
120166,02/04/2017,93029,38,42,20
120187,02/04/2017,93066,30,42,22
120194,02/04/2017,93078,27,42,22
120198,02/04/2017,94003,30,39,24
120211,02/04/2017,94037,30,39,25
120387,02/04/2017,95527,22,43,22
120439,03/04/2017,75103,50,39,53
120441,03/04/2017,75105,52,38,52
120446,03/04/2017,75110,53,40,53
120450,03/04/2017,75114,53,38,50
121196,03/04/2017,78575,31,44,29
121270,03/04/2017,91122,33,44,29
121312,03/04/2017,91272,34,44,29
121338,03/04/2017,91377,42,42,40
121362,03/04/2017,91471,35,43,29
121364,03/04/2017,91477,39,43,34
121429,03/04/2017,92002,46,41,42
121434,03/04/2017,92014,47,39,45
121466,03/04/2017,93005,50,45,50
121468,03/04/2017,93007,51,45,49
121471,03/04/2017,93013,51,46,47
121474,03/04/2017,93027,53,46,49
121475,03/04/2017,93029,53,45,49
121496,03/04/2017,93066,55,46,52
121503,03/04/2017,93078,45,45,50
121507,03/04/2017,94003,51,38,49
121520,03/04/2017,94037,52,37,52
121696,03/04/2017,95527,39,46,50
121748,04/04/2017,75103,46,33,54
121750,04/04/2017,75105,48,33,54
121755,04/04/2017,75110,45,32,54
121759,04/04/2017,75114,49,33,53
122505,04/04/2017,78575,31,39,27
122579,04/04/2017,91122,34,40,30
122621,04/04/2017,91272,34,40,29
122647,04/04/2017,91377,45,36,42
122671,04/04/2017,91471,36,39,30
122673,04/04/2017,91477,41,38,35
122738,04/04/2017,92002,46,35,45
122743,04/04/2017,92014,47,34,49
122775,04/04/2017,93005,39,37,50
122777,04/04/2017,93007,39,36,50
122780,04/04/2017,93013,38,35,50
122783,04/04/2017,93027,39,35,50
122784,04/04/2017,93029,39,36,52
122805,04/04/2017,93066,43,35,53
122812,04/04/2017,93078,37,36,47
122816,04/04/2017,94003,49,33,52
122829,04/04/2017,94037,50,33,53
123005,04/04/2017,95527,35,38,45
123057,05/04/2017,75103,22,33,52
123059,05/04/2017,75105,22,33,52
123064,05/04/2017,75110,26,33,50
123068,05/04/2017,75114,24,33,52
123814,05/04/2017,78575,14,38,40
123888,05/04/2017,91122,16,38,42
123930,05/04/2017,91272,16,38,42
123956,05/04/2017,91377,21,35,47
123980,05/04/2017,91471,17,37,44
123982,05/04/2017,91477,19,35,45
124047,05/04/2017,92002,21,34,49
124052,05/04/2017,92014,22,34,50
124084,05/04/2017,93005,23,37,49
124086,05/04/2017,93007,20,36,49
124089,05/04/2017,93013,18,36,49
124092,05/04/2017,93027,19,35,49
124093,05/04/2017,93029,20,36,50
124114,05/04/2017,93066,24,35,49
124121,05/04/2017,93078,28,38,47
124125,05/04/2017,94003,23,33,50
124138,05/04/2017,94037,23,33,52
124314,05/04/2017,95527,22,38,45
124366,06/04/2017,75103,26,36,44
124368,06/04/2017,75105,26,36,45
124373,06/04/2017,75110,30,35,45
124377,06/04/2017,75114,28,36,47
125123,06/04/2017,78575,20,39,40
125197,06/04/2017,91122,21,40,42
125239,06/04/2017,91272,22,40,42
125265,06/04/2017,91377,27,36,45
125289,06/04/2017,91471,23,38,42
125291,06/04/2017,91477,25,37,44
125356,06/04/2017,92002,28,35,45
125361,06/04/2017,92014,28,36,47
125393,06/04/2017,93005,33,37,40
125395,06/04/2017,93007,34,37,40
125398,06/04/2017,93013,33,37,42
125401,06/04/2017,93027,32,37,42
125402,06/04/2017,93029,34,37,42
125423,06/04/2017,93066,32,38,44
125430,06/04/2017,93078,32,37,39
125434,06/04/2017,94003,28,36,47
125447,06/04/2017,94037,27,36,47
125623,06/04/2017,95527,31,38,39
125675,07/04/2017,75103,38,40,65
125677,07/04/2017,75105,37,40,65
125682,07/04/2017,75110,41,39,67
125686,07/04/2017,75114,38,39,65
126432,07/04/2017,78575,29,38,55
126506,07/04/2017,91122,30,36,58
126548,07/04/2017,91272,31,38,58
126574,07/04/2017,91377,35,35,63
126598,07/04/2017,91471,32,35,58
126600,07/04/2017,91477,33,34,60
126665,07/04/2017,92002,36,36,64
126670,07/04/2017,92014,37,36,64
126702,07/04/2017,93005,47,43,59
126704,07/04/2017,93007,49,43,59
126707,07/04/2017,93013,46,43,59
126710,07/04/2017,93027,45,43,62
126711,07/04/2017,93029,51,43,59
126732,07/04/2017,93066,43,43,64
126739,07/04/2017,93078,40,43,58
126743,07/04/2017,94003,39,38,65
126756,07/04/2017,94037,40,38,65
126932,07/04/2017,95527,36,45,58
126984,08/04/2017,75103,42,40,74
126986,08/04/2017,75105,41,41,73
126991,08/04/2017,75110,50,39,74
126995,08/04/2017,75114,44,42,72
127741,08/04/2017,78575,27,39,59
127815,08/04/2017,91122,27,41,59
127857,08/04/2017,91272,29,40,60
127883,08/04/2017,91377,34,41,63
127907,08/04/2017,91471,29,40,60
127909,08/04/2017,91477,32,40,62
127974,08/04/2017,92002,38,42,64
127979,08/04/2017,92014,39,43,64
128011,08/04/2017,93005,39,48,64
128013,08/04/2017,93007,42,46,63
128016,08/04/2017,93013,43,45,63
128019,08/04/2017,93027,44,45,65
128020,08/04/2017,93029,48,46,63
128041,08/04/2017,93066,48,44,70
128048,08/04/2017,93078,33,49,67
128052,08/04/2017,94003,39,43,68
128065,08/04/2017,94037,39,43,69
128241,08/04/2017,95527,30,50,64
128293,09/04/2017,75103,58,48,60
128295,09/04/2017,75105,56,48,59
128300,09/04/2017,75110,60,50,62
128304,09/04/2017,75114,53,50,55
129050,09/04/2017,78575,26,51,35
129124,09/04/2017,91122,26,53,39
129166,09/04/2017,91272,28,53,37
129192,09/04/2017,91377,39,52,45
129216,09/04/2017,91471,29,52,39
129218,09/04/2017,91477,32,52,42
129283,09/04/2017,92002,43,52,47
129288,09/04/2017,92014,46,51,49
129320,09/04/2017,93005,53,53,62
129322,09/04/2017,93007,54,52,60
129325,09/04/2017,93013,56,51,60
129328,09/04/2017,93027,61,51,63
129329,09/04/2017,93029,58,52,60
129350,09/04/2017,93066,63,52,65
129357,09/04/2017,93078,53,54,62
129361,09/04/2017,94003,51,50,52
129374,09/04/2017,94037,53,50,54
129550,09/04/2017,95527,46,51,63
129602,10/04/2017,75103,31,33,45
129604,10/04/2017,75105,28,34,45
129609,10/04/2017,75110,31,33,45
129613,10/04/2017,75114,23,35,45
130359,10/04/2017,78575,8,40,35
130433,10/04/2017,91122,9,40,37
130475,10/04/2017,91272,9,40,37
130501,10/04/2017,91377,12,38,39
130525,10/04/2017,91471,9,40,37
130527,10/04/2017,91477,10,39,37
130592,10/04/2017,92002,13,38,40
130597,10/04/2017,92014,15,37,40
130629,10/04/2017,93005,43,38,45
130631,10/04/2017,93007,43,37,45
130634,10/04/2017,93013,37,37,45
130637,10/04/2017,93027,37,37,47
130638,10/04/2017,93029,45,37,45
130659,10/04/2017,93066,31,36,50
130666,10/04/2017,93078,37,38,44
130670,10/04/2017,94003,20,36,44
130683,10/04/2017,94037,23,35,44
130859,10/04/2017,95527,31,39,45
130911,11/04/2017,75103,34,36,37
130913,11/04/2017,75105,31,37,37
130918,11/04/2017,75110,37,36,37
130922,11/04/2017,75114,32,37,37
131668,11/04/2017,78575,31,40,25
131742,11/04/2017,91122,35,39,27
131784,11/04/2017,91272,34,40,27
131810,11/04/2017,91377,44,37,32
131834,11/04/2017,91471,37,38,27
131836,11/04/2017,91477,41,38,29
131901,11/04/2017,92002,44,36,34
131906,11/04/2017,92014,41,36,34
131938,11/04/2017,93005,38,40,27
131940,11/04/2017,93007,38,40,27
131943,11/04/2017,93013,34,40,27
131946,11/04/2017,93027,34,41,27
131947,11/04/2017,93029,39,40,27
131968,11/04/2017,93066,39,40,32
131975,11/04/2017,93078,38,41,27
131979,11/04/2017,94003,34,36,37
131992,11/04/2017,94037,31,37,37
132168,11/04/2017,95527,33,42,27
132220,12/04/2017,75103,36,36,37
132222,12/04/2017,75105,34,37,37
132227,12/04/2017,75110,38,38,37
132231,12/04/2017,75114,33,38,37
132977,12/04/2017,78575,23,41,24
133051,12/04/2017,91122,25,41,24
133093,12/04/2017,91272,26,41,25
133119,12/04/2017,91377,35,40,27
133143,12/04/2017,91471,27,40,25
133145,12/04/2017,91477,31,40,25
133210,12/04/2017,92002,36,40,30
133215,12/04/2017,92014,35,40,30
133247,12/04/2017,93005,37,41,34
133249,12/04/2017,93007,37,41,34
133252,12/04/2017,93013,36,41,30
133255,12/04/2017,93027,37,41,30
133256,12/04/2017,93029,37,41,34
133277,12/04/2017,93066,38,41,32
133284,12/04/2017,93078,34,41,35
133288,12/04/2017,94003,33,39,34
133301,12/04/2017,94037,32,38,35
133477,12/04/2017,95527,30,41,34
133529,13/04/2017,75103,23,32,42
133531,13/04/2017,75105,24,32,40
133536,13/04/2017,75110,26,32,40
133540,13/04/2017,75114,27,33,40
134286,13/04/2017,78575,14,38,27
134360,13/04/2017,91122,15,38,29
134402,13/04/2017,91272,15,38,29
134428,13/04/2017,91377,19,36,32
134452,13/04/2017,91471,16,38,29
134454,13/04/2017,91477,16,37,30
134519,13/04/2017,92002,21,36,34
134524,13/04/2017,92014,23,35,35
134556,13/04/2017,93005,31,35,34
134558,13/04/2017,93007,31,35,34
134561,13/04/2017,93013,27,35,32
134564,13/04/2017,93027,26,35,32
134565,13/04/2017,93029,32,35,34
134586,13/04/2017,93066,30,35,35
134593,13/04/2017,93078,29,34,32
134597,13/04/2017,94003,26,33,39
134610,13/04/2017,94037,27,33,40
134786,13/04/2017,95527,27,33,32
134838,14/04/2017,75103,31,40,42
134840,14/04/2017,75105,32,40,40
134845,14/04/2017,75110,33,40,42
134849,14/04/2017,75114,34,40,40
135595,14/04/2017,78575,18,44,27
135669,14/04/2017,91122,20,44,27
135711,14/04/2017,91272,20,45,29
135737,14/04/2017,91377,29,42,34
135761,14/04/2017,91471,22,43,29
135763,14/04/2017,91477,26,43,30
135828,14/04/2017,92002,31,41,34
135833,14/04/2017,92014,32,41,35
135865,14/04/2017,93005,31,42,32
135867,14/04/2017,93007,28,42,32
135870,14/04/2017,93013,25,42,30
135873,14/04/2017,93027,23,42,32
135874,14/04/2017,93029,26,42,32
135895,14/04/2017,93066,28,42,37
135902,14/04/2017,93078,33,42,32
135906,14/04/2017,94003,33,40,39
135919,14/04/2017,94037,33,40,40
136095,14/04/2017,95527,31,41,32
136147,15/04/2017,75103,17,33,27
136149,15/04/2017,75105,16,33,27
136154,15/04/2017,75110,19,34,27
136158,15/04/2017,75114,17,34,25
136904,15/04/2017,78575,10,35,19
136978,15/04/2017,91122,11,36,19
137020,15/04/2017,91272,11,36,19
137046,15/04/2017,91377,14,36,22
137070,15/04/2017,91471,12,36,20
137072,15/04/2017,91477,13,36,20
137137,15/04/2017,92002,14,36,22
137142,15/04/2017,92014,14,35,24
137174,15/04/2017,93005,15,35,20
137176,15/04/2017,93007,12,35,19
137179,15/04/2017,93013,11,36,19
137182,15/04/2017,93027,13,36,19
137183,15/04/2017,93029,12,36,19
137204,15/04/2017,93066,17,36,22
137211,15/04/2017,93078,18,34,22
137215,15/04/2017,94003,14,34,25
137228,15/04/2017,94037,14,34,25
137404,15/04/2017,95527,15,34,22
137456,16/04/2017,75103,12,35,24
137458,16/04/2017,75105,13,35,25
137463,16/04/2017,75110,15,35,24
137467,16/04/2017,75114,17,36,25
138213,16/04/2017,78575,12,39,19
138287,16/04/2017,91122,13,39,20
138329,16/04/2017,91272,13,39,20
138355,16/04/2017,91377,16,39,22
138379,16/04/2017,91471,14,39,20
138381,16/04/2017,91477,15,39,20
138446,16/04/2017,92002,15,39,22
138451,16/04/2017,92014,13,38,22
138483,16/04/2017,93005,18,38,19
138485,16/04/2017,93007,15,38,17
138488,16/04/2017,93013,13,38,15
138491,16/04/2017,93027,14,38,17
138492,16/04/2017,93029,14,38,17
138513,16/04/2017,93066,16,37,20
138520,16/04/2017,93078,23,37,20
138524,16/04/2017,94003,13,37,24
138537,16/04/2017,94037,13,37,25
138713,16/04/2017,95527,19,37,19
138765,17/04/2017,75103,14,33,22
138767,17/04/2017,75105,13,33,22
138772,17/04/2017,75110,18,33,22
138776,17/04/2017,75114,15,33,22
139522,17/04/2017,78575,9,35,17
139596,17/04/2017,91122,10,35,17
139638,17/04/2017,91272,9,35,17
139664,17/04/2017,91377,13,35,20
139688,17/04/2017,91471,10,35,19
139690,17/04/2017,91477,11,35,19
139755,17/04/2017,92002,13,34,20
139760,17/04/2017,92014,12,33,20
139792,17/04/2017,93005,26,35,19
139794,17/04/2017,93007,21,35,17
139797,17/04/2017,93013,17,35,17
139800,17/04/2017,93027,16,35,19
139801,17/04/2017,93029,19,35,17
139822,17/04/2017,93066,19,35,20
139829,17/04/2017,93078,32,35,19
139833,17/04/2017,94003,13,33,22
139846,17/04/2017,94037,13,33,22
140022,17/04/2017,95527,25,35,19
140074,18/04/2017,75103,32,36,24
140076,18/04/2017,75105,32,37,25
140081,18/04/2017,75110,37,36,25
140085,18/04/2017,75114,37,36,29
140831,18/04/2017,78575,24,39,22
140905,18/04/2017,91122,25,40,22
140947,18/04/2017,91272,26,40,22
140973,18/04/2017,91377,35,37,25
140997,18/04/2017,91471,28,39,24
140999,18/04/2017,91477,31,38,24
141064,18/04/2017,92002,37,36,25
141069,18/04/2017,92014,38,36,25
141101,18/04/2017,93005,38,39,20
141103,18/04/2017,93007,37,39,20
141106,18/04/2017,93013,36,39,20
141109,18/04/2017,93027,39,39,22
141110,18/04/2017,93029,37,39,20
141131,18/04/2017,93066,41,39,25
141138,18/04/2017,93078,37,39,20
141142,18/04/2017,94003,36,36,27
141155,18/04/2017,94037,35,37,27
141331,18/04/2017,95527,33,40,20
141383,19/04/2017,75103,28,38,39
141385,19/04/2017,75105,27,38,40
141390,19/04/2017,75110,31,37,39
141394,19/04/2017,75114,28,37,44
142140,19/04/2017,78575,22,39,37
142214,19/04/2017,91122,24,40,39
142256,19/04/2017,91272,24,40,39
142282,19/04/2017,91377,31,38,40
142306,19/04/2017,91471,26,39,39
142308,19/04/2017,91477,28,38,39
142373,19/04/2017,92002,31,38,42
142378,19/04/2017,92014,30,38,42
142410,19/04/2017,93005,28,40,30
142412,19/04/2017,93007,27,40,30
142415,19/04/2017,93013,25,40,30
142418,19/04/2017,93027,25,39,32
142419,19/04/2017,93029,27,40,30
142440,19/04/2017,93066,29,39,35
142447,19/04/2017,93078,28,41,30
142451,19/04/2017,94003,29,38,42
142464,19/04/2017,94037,29,38,42
142640,19/04/2017,95527,23,41,30
142692,20/04/2017,75103,40,37,39
142694,20/04/2017,75105,39,37,39
142699,20/04/2017,75110,43,36,42
142703,20/04/2017,75114,39,37,40
143449,20/04/2017,78575,24,36,35
143523,20/04/2017,91122,25,38,34
143565,20/04/2017,91272,26,37,35
143591,20/04/2017,91377,35,38,35
143615,20/04/2017,91471,27,38,35
143617,20/04/2017,91477,31,37,35
143682,20/04/2017,92002,36,38,37
143687,20/04/2017,92014,37,38,37
143719,20/04/2017,93005,35,41,35
143721,20/04/2017,93007,36,40,35
143724,20/04/2017,93013,36,39,35
143727,20/04/2017,93027,37,39,35
143728,20/04/2017,93029,39,39,34
143749,20/04/2017,93066,41,39,40
143756,20/04/2017,93078,34,42,35
143760,20/04/2017,94003,39,38,39
143773,20/04/2017,94037,39,38,39
143949,20/04/2017,95527,30,42,35
144001,21/04/2017,75103,47,38,54
144003,21/04/2017,75105,47,38,54
144008,21/04/2017,75110,50,38,55
144012,21/04/2017,75114,48,37,55
144758,21/04/2017,78575,30,38,47
144832,21/04/2017,91122,34,36,45
144874,21/04/2017,91272,34,38,45
144900,21/04/2017,91377,44,37,49
144924,21/04/2017,91471,36,36,45
144926,21/04/2017,91477,40,36,45
144991,21/04/2017,92002,45,37,50
144996,21/04/2017,92014,46,37,52
145028,21/04/2017,93005,49,41,50
145030,21/04/2017,93007,46,41,50
145033,21/04/2017,93013,46,41,50
145036,21/04/2017,93027,50,42,50
145037,21/04/2017,93029,48,41,49
145058,21/04/2017,93066,51,42,54
145065,21/04/2017,93078,53,40,50
145069,21/04/2017,94003,48,36,54
145082,21/04/2017,94037,49,36,54
145258,21/04/2017,95527,47,42,50
145310,22/04/2017,75103,33,28,49
145312,22/04/2017,75105,34,28,49
145317,22/04/2017,75110,33,28,49
145321,22/04/2017,75114,36,28,47
146067,22/04/2017,78575,20,33,35
146141,22/04/2017,91122,23,33,35
146183,22/04/2017,91272,23,33,35
146209,22/04/2017,91377,30,31,37
146233,22/04/2017,91471,25,33,35
146235,22/04/2017,91477,28,32,35
146300,22/04/2017,92002,33,30,39
146305,22/04/2017,92014,34,29,40
146337,22/04/2017,93005,36,30,39
146339,22/04/2017,93007,34,30,37
146342,22/04/2017,93013,30,30,37
146345,22/04/2017,93027,32,30,40
146346,22/04/2017,93029,34,30,39
146367,22/04/2017,93066,34,29,45
146374,22/04/2017,93078,38,30,40
146378,22/04/2017,94003,36,28,44
146391,22/04/2017,94037,36,27,45
146567,22/04/2017,95527,28,31,39
146619,23/04/2017,75103,26,38,29
146621,23/04/2017,75105,23,38,29
146626,23/04/2017,75110,31,38,29
146630,23/04/2017,75114,22,37,29
147376,23/04/2017,78575,16,40,22
147450,23/04/2017,91122,15,40,24
147492,23/04/2017,91272,16,40,24
147518,23/04/2017,91377,16,38,25
147542,23/04/2017,91471,16,40,24
147544,23/04/2017,91477,16,39,24
147609,23/04/2017,92002,16,38,27
147614,23/04/2017,92014,16,38,27
147646,23/04/2017,93005,26,40,22
147648,23/04/2017,93007,29,39,24
147651,23/04/2017,93013,31,39,24
147654,23/04/2017,93027,33,40,24
147655,23/04/2017,93029,32,39,24
147676,23/04/2017,93066,34,40,27
147683,23/04/2017,93078,22,40,22
147687,23/04/2017,94003,16,38,29
147700,23/04/2017,94037,16,38,29
147876,23/04/2017,95527,21,40,22
147928,24/04/2017,75103,43,42,40
147930,24/04/2017,75105,42,42,40
147935,24/04/2017,75110,46,43,39
147939,24/04/2017,75114,43,43,39
148685,24/04/2017,78575,27,48,25
148759,24/04/2017,91122,31,49,29
148801,24/04/2017,91272,31,49,29
148827,24/04/2017,91377,43,46,35
148851,24/04/2017,91471,33,48,29
148853,24/04/2017,91477,38,47,32
148918,24/04/2017,92002,45,46,35
148923,24/04/2017,92014,46,45,37
148955,24/04/2017,93005,41,45,35
148957,24/04/2017,93007,41,45,34
148960,24/04/2017,93013,39,45,34
148963,24/04/2017,93027,40,46,35
148964,24/04/2017,93029,43,45,34
148985,24/04/2017,93066,44,45,40
148992,24/04/2017,93078,39,45,35
148996,24/04/2017,94003,44,44,39
149009,24/04/2017,94037,43,43,40
149185,24/04/2017,95527,35,46,35
149237,25/04/2017,75103,20,33,24
149239,25/04/2017,75105,20,34,25
149244,25/04/2017,75110,25,33,24
149248,25/04/2017,75114,25,33,27
149994,25/04/2017,78575,16,35,22
150068,25/04/2017,91122,17,35,22
150110,25/04/2017,91272,17,35,22
150136,25/04/2017,91377,21,33,27
150160,25/04/2017,91471,18,35,24
150162,25/04/2017,91477,19,34,25
150227,25/04/2017,92002,22,33,27
150232,25/04/2017,92014,23,33,27
150264,25/04/2017,93005,20,35,20
150266,25/04/2017,93007,19,35,20
150269,25/04/2017,93013,17,35,20
150272,25/04/2017,93027,19,35,20
150273,25/04/2017,93029,18,35,20
150294,25/04/2017,93066,25,35,24
150301,25/04/2017,93078,21,35,19
150305,25/04/2017,94003,24,33,27
150318,25/04/2017,94037,23,33,27
150494,25/04/2017,95527,17,36,19
150546,26/04/2017,75103,29,31,22
150548,26/04/2017,75105,34,31,24
150553,26/04/2017,75110,34,32,24
150557,26/04/2017,75114,37,32,25
151303,26/04/2017,78575,27,37,19
151377,26/04/2017,91122,28,38,20
151419,26/04/2017,91272,29,38,20
151445,26/04/2017,91377,37,35,24
151469,26/04/2017,91471,30,37,20
151471,26/04/2017,91477,33,36,22
151536,26/04/2017,92002,38,35,24
151541,26/04/2017,92014,39,34,24
151573,26/04/2017,93005,28,35,20
151575,26/04/2017,93007,25,35,20
151578,26/04/2017,93013,21,36,20
151581,26/04/2017,93027,22,36,20
151582,26/04/2017,93029,24,35,20
151603,26/04/2017,93066,30,36,24
151610,26/04/2017,93078,29,35,20
151614,26/04/2017,94003,38,33,25
151627,26/04/2017,94037,38,32,25
151803,26/04/2017,95527,26,36,20
151855,27/04/2017,75103,33,33,27
151857,27/04/2017,75105,32,33,29
151862,27/04/2017,75110,36,33,27
151866,27/04/2017,75114,33,33,30
152612,27/04/2017,78575,19,38,22
152686,27/04/2017,91122,21,39,22
152728,27/04/2017,91272,21,39,22
152754,27/04/2017,91377,29,36,27
152778,27/04/2017,91471,23,38,24
152780,27/04/2017,91477,26,37,25
152845,27/04/2017,92002,30,36,29
152850,27/04/2017,92014,31,35,29
152882,27/04/2017,93005,29,37,20
152884,27/04/2017,93007,28,37,20
152887,27/04/2017,93013,27,37,20
152890,27/04/2017,93027,30,36,22
152891,27/04/2017,93029,29,37,20
152912,27/04/2017,93066,36,36,25
152919,27/04/2017,93078,29,37,20
152923,27/04/2017,94003,32,33,30
152936,27/04/2017,94037,33,33,30
153112,27/04/2017,95527,26,38,20
153164,28/04/2017,75103,44,29,34
153166,28/04/2017,75105,44,30,32
153171,28/04/2017,75110,45,28,32
153175,28/04/2017,75114,42,32,30
153921,28/04/2017,78575,21,34,19
153995,28/04/2017,91122,24,34,20
154037,28/04/2017,91272,24,34,20
154063,28/04/2017,91377,32,34,24
154087,28/04/2017,91471,25,34,20
154089,28/04/2017,91477,27,34,22
154154,28/04/2017,92002,33,34,25
154159,28/04/2017,92014,34,34,25
154191,28/04/2017,93005,37,30,30
154193,28/04/2017,93007,39,31,29
154196,28/04/2017,93013,39,31,27
154199,28/04/2017,93027,41,31,27
154200,28/04/2017,93029,40,30,29
154221,28/04/2017,93066,44,31,29
154228,28/04/2017,93078,33,30,32
154232,28/04/2017,94003,39,32,29
154245,28/04/2017,94037,42,32,30
154421,28/04/2017,95527,28,31,29
154473,29/04/2017,75103,41,40,39
154475,29/04/2017,75105,41,40,39
154480,29/04/2017,75110,42,40,39
154484,29/04/2017,75114,39,40,37
155230,29/04/2017,78575,22,42,22
155304,29/04/2017,91122,25,42,24
155346,29/04/2017,91272,25,42,24
155372,29/04/2017,91377,31,42,30
155396,29/04/2017,91471,26,42,25
155398,29/04/2017,91477,29,42,27
155463,29/04/2017,92002,32,42,30
155468,29/04/2017,92014,33,42,32
155500,29/04/2017,93005,27,41,32
155502,29/04/2017,93007,28,41,32
155505,29/04/2017,93013,28,41,32
155508,29/04/2017,93027,32,41,34
155509,29/04/2017,93029,32,41,32
155530,29/04/2017,93066,37,41,37
155537,29/04/2017,93078,19,41,30
155541,29/04/2017,94003,37,41,35
155554,29/04/2017,94037,39,41,35
155730,29/04/2017,95527,18,41,30
155782,30/04/2017,75103,19,42,19
155784,30/04/2017,75105,18,43,20
155789,30/04/2017,75110,20,43,19
155793,30/04/2017,75114,16,44,20
156539,30/04/2017,78575,6,46,15
156613,30/04/2017,91122,7,46,17
156655,30/04/2017,91272,6,46,15
156681,30/04/2017,91377,9,46,19
156705,30/04/2017,91471,7,46,17
156707,30/04/2017,91477,8,46,17
156772,30/04/2017,92002,10,46,19
156777,30/04/2017,92014,11,46,19
156809,30/04/2017,93005,13,46,17
156811,30/04/2017,93007,14,45,17
156814,30/04/2017,93013,16,45,17
156817,30/04/2017,93027,19,45,17
156818,30/04/2017,93029,16,45,17
156839,30/04/2017,93066,22,45,19
156846,30/04/2017,93078,11,47,17
156850,30/04/2017,94003,14,45,20
156863,30/04/2017,94037,16,44,20
157039,30/04/2017,95527,12,46,17
157091,01/05/2017,75103,19,34,24
157093,01/05/2017,75105,17,35,24
157098,01/05/2017,75110,18,36,22
157102,01/05/2017,75114,15,37,24
157848,01/05/2017,78575,6,39,20
157922,01/05/2017,91122,7,38,20
157964,01/05/2017,91272,7,39,20
157990,01/05/2017,91377,9,38,22
158014,01/05/2017,91471,7,38,20
158016,01/05/2017,91477,8,38,22
158081,01/05/2017,92002,9,38,22
158086,01/05/2017,92014,10,38,24
158118,01/05/2017,93005,14,38,17
158120,01/05/2017,93007,13,38,17
158123,01/05/2017,93013,13,38,17
158126,01/05/2017,93027,14,39,17
158127,01/05/2017,93029,13,38,17
158148,01/05/2017,93066,14,39,17
158155,01/05/2017,93078,14,39,17
158159,01/05/2017,94003,12,37,24
158172,01/05/2017,94037,14,37,24
158348,01/05/2017,95527,15,38,17
158400,02/05/2017,75103,28,35,27
158402,02/05/2017,75105,27,35,27
158407,02/05/2017,75110,30,34,27
158411,02/05/2017,75114,25,34,27
159157,02/05/2017,78575,13,35,19
159231,02/05/2017,91122,13,37,20
159273,02/05/2017,91272,14,37,20
159299,02/05/2017,91377,17,34,24
159323,02/05/2017,91471,14,35,20
159325,02/05/2017,91477,15,35,22
159390,02/05/2017,92002,18,35,24
159395,02/05/2017,92014,19,35,25
159427,02/05/2017,93005,27,38,24
159429,02/05/2017,93007,29,38,24
159432,02/05/2017,93013,31,38,24
159435,02/05/2017,93027,34,38,24
159436,02/05/2017,93029,32,37,24
159457,02/05/2017,93066,34,38,25
159464,02/05/2017,93078,24,39,24
159468,02/05/2017,94003,23,34,27
159481,02/05/2017,94037,25,34,27
159657,02/05/2017,95527,25,39,24
159709,03/05/2017,75103,30,35,47
159711,03/05/2017,75105,33,35,45
159716,03/05/2017,75110,34,34,47
159720,03/05/2017,75114,35,35,44
160466,03/05/2017,78575,22,32,27
160540,03/05/2017,91122,25,29,29
160582,03/05/2017,91272,24,31,27
160608,03/05/2017,91377,34,32,35
160632,03/05/2017,91471,27,29,29
160634,03/05/2017,91477,30,31,32
160699,03/05/2017,92002,35,35,37
160704,03/05/2017,92014,35,35,39
160736,03/05/2017,93005,24,35,40
160738,03/05/2017,93007,23,35,37
160741,03/05/2017,93013,22,35,35
160744,03/05/2017,93027,25,36,37
160745,03/05/2017,93029,24,35,35
160766,03/05/2017,93066,32,36,42
160773,03/05/2017,93078,24,35,42
160777,03/05/2017,94003,37,35,42
160790,03/05/2017,94037,37,35,44
160966,03/05/2017,95527,20,36,39
161018,04/05/2017,75103,44,32,52
161020,04/05/2017,75105,43,33,52
161025,04/05/2017,75110,45,32,52
161029,04/05/2017,75114,43,32,52
161775,04/05/2017,78575,30,38,40
161849,04/05/2017,91122,36,39,44
161891,04/05/2017,91272,35,39,44
161917,04/05/2017,91377,46,34,50
161941,04/05/2017,91471,38,38,45
161943,04/05/2017,91477,43,36,47
162008,04/05/2017,92002,47,33,50
162013,04/05/2017,92014,47,33,50
162045,04/05/2017,93005,36,35,42
162047,04/05/2017,93007,36,34,42
162050,04/05/2017,93013,35,34,42
162053,04/05/2017,93027,38,34,44
162054,04/05/2017,93029,37,34,42
162075,04/05/2017,93066,43,35,49
162082,04/05/2017,93078,31,36,42
162086,04/05/2017,94003,45,32,52
162099,04/05/2017,94037,44,32,52
162275,04/05/2017,95527,28,37,42
162327,05/05/2017,75103,22,40,62
162329,05/05/2017,75105,23,41,62
162334,05/05/2017,75110,24,40,62
162338,05/05/2017,75114,23,40,60
163084,05/05/2017,78575,18,43,52
163158,05/05/2017,91122,19,44,52
163200,05/05/2017,91272,19,44,52
163226,05/05/2017,91377,21,42,53
163250,05/05/2017,91471,19,43,52
163252,05/05/2017,91477,20,42,52
163317,05/05/2017,92002,21,41,54
163322,05/05/2017,92014,21,42,55
163354,05/05/2017,93005,21,43,55
163356,05/05/2017,93007,22,42,54
163359,05/05/2017,93013,22,41,54
163362,05/05/2017,93027,23,41,57
163363,05/05/2017,93029,22,42,54
163384,05/05/2017,93066,24,40,59
163391,05/05/2017,93078,21,44,57
163395,05/05/2017,94003,23,41,58
